Entity,Whilte_list
Energy Micro 's,X
Fairchild,O
Flash,X
Imagination Technology Group Ltd,X
Power and High-Reliability Product Group,X
West,X
State,X
Phenom,X
MP,X
Raytheon Company,O
Lenders,X
ASC 280 Segment Reporting,X
CISC,X
"Advanced , Aerospace & Defense",X
ATIC,O
RSUs,X
Knights,X
Honeywell,O
CDMA2000,X
Qualcomm,O
PACT,X
GSA,O
"Microsoft Group , Inc",X
National Association,O
NTG Ultra-Mobility Group,X
"McAfee, Inc",O
"HBO , Inc",X
Energy Micro AS,O
A * STAR,X
Georgetown University Law Center,X
GameWorks,X
Yen,X
10-K,X
"MediaTek, Inc",O
Fairchild Effective Time,X
Spartan-3,X
"Sunext Design , Inc",X
VISION Technology,O
SuperFlash,X
"II-VI, Inc",O
Notes,X
"Texas Instruments , Inc",X
Jetson,X
Worldwide,X
"Hon Hai Precision Industry Co., Ltd/Foxconn",O
FREEBOX,X
Foundry,X
PlayStation,X
Aa3 / AA,X
"IbidenCo. , Ltd",X
Remote Radio Head DFE,X
Xemics SA,O
AMCC,X
"Automotive Semiconductor , Inc",X
"Cisco Technologies Co. , Ltd",X
Continuing,X
Mobile and Networking,X
Bank of America,X
Imagination Technologies,O
FS,X
GE,O
Equity Bank Securities Inc,X
"Rohm Co., Ltd",O
Silicon Clocks,O
"Acoustic Technologies, Inc",O
Kingpak,X
Wolfson Microelectronics plc,X
SCI Semiconductor Division,X
Custom Industrial and Timing Products,X
Silicon Instruments Incorporated,X
Qualcomm Internet Services,O
Swiss,X
NXP B.V,O
"Fuzhou Rockchip Electronics Co. , Ltd",X
"King Yuan Electronics Co. , Ltd",X
AEC,X
Aristotle,X
PCCG Center Group,X
"Brobeck , Phleger and Harrison , LLP",X
Texas Devices Inc,X
BAC,X
Cirrus,X
HERE,X
Pascal-based,X
"Beceem Communications , Inc",X
Bachelor of Science in Business Administration and Accounting,X
"Qualcomm Europe , Inc",X
"Beceem and Gigle Networks, Inc",O
"Microsoft Warner , Inc",X
California State University,X
dsPICDSC,X
MU,O
Qualcomm Front End,O
Penang  Sdn,X
ATI CrossFire Pro ™,X
WPS,X
CPE,X
"QUALCOMM Technologies , Inc",X
Bradley,X
SEMTECH,O
CH2M,X
Pierce of America,X
BYD Auto Co . Ltd,X
Standard & Poor,O
Benchmark Electronic,O
Graphics,X
Mitsubishi Instruments Incorporated,X
Oracle Corporation,O
Financial and Enterprise Services,X
Tower Semiconductor Ltd,O
"Serial Computer Technology , Ltd",X
Imagination Technology Group,O
"Motorola , Inc",X
GPG,X
Dresdner Bank AG,X
"Cisco Systems , Inc",X
Texas,X
GSMA Intelligence,O
HPC,X
"Supertex , Inc",X
Consolidated Balance Sheet,X
Renesas Electronics Corporation,O
Things Businesses and System Architecture Group,X
DNN,O
Tessera Technologies,O
Infonetics,X
Compensation,X
HPC  & Cloud,X
"AMD Micro Devices , Inc",X
Spansion,X
Passive,X
CoolRunnerTM,X
District,X
Xeon Phi ™,X
Teknovus,O
"Advanced Semiconductor Engineering , Inc",X
"Micrel , Incorporated",X
Silicon Devices Inc,X
Magna,X
Data High Performance Analog Division,X
Timing,X
WLS,X
"Yulong Computer Telecommunication Scientific Co., Ltd",O
General and Administrative,X
1st,X
"GoerTek Instruments , Inc",X
HiSilicon Technologies,O
Sony Playstation,O
ZMD AG,O
ITU,X
ZTE Corporation,O
Infrastructure,X
nVidia Wireless,X
Tianjin Haiguang Advanced Technology Investment Co. Ltd,O
Mobileye,X
"BroadLight , Inc",X
NEC Epson Corporation,X
AMD FirePro ™,X
STMicroelectronics Instruments Incorporated,X
SANYO Semiconductor,O
Harvard Business School,X
Wireless and Sensing Group,X
Arizona State University,X
GreenPeak,O
Broadcom Communications Holdings Inc,X
Monolithic Power Systems Inc,O
Carrier,X
Skyworks Solutions Inc,O
Fair Value Measurements,X
Moore,X
SG & A,X
SolidWorks,O
Broadcom Semiconductor Inc,X
Exit of Cellular Baseband Business,X
Nokia Solutions,O
"Intersil Integrated Products , Inc",X
MaxLinear,O
Analog Products Group,O
SEC,X
ODM,X
Hewlett-Packard Corporation,O
2901,X
Deep Neutral Networks,X
Signal Integrity and Timing,X
ATI Technologies ULC,O
Narrow-Scope Improvements and Practical Expedients,X
"Silicon Wave, Inc",O
"vivo Communication Technology Co., Ltd",O
MPU,X
Cooley,O
QCT Business Planning and Finance,O
ISecG,X
SANYO Semiconductor Division,O
Malaysian Target Company,O
Skyworks Electric Device Innovations,X
Modoff,X
"Flextronics, Celestica, Benchmark Electronic",O
General Instrument,O
Court,X
Amalfi Semiconductor,O
Aptina Imaging Business,O
Project,X
WCC,X
"Sirenza Microdevices , Inc",X
"Littelfuse , Inc",X
Working Capital and Cash and Marketable Securities,X
"Gartner , Inc",X
Renasas Co . Ltd,X
Austriamicrosystems Semiconductor PLC,X
ON ’s Semiconductor Components Group,X
Cloudera,O
"AMD Haiguang Advanced Technology Investment Co. , Ltd",X
"Anadigics Devices , Inc",X
Turnkey,X
Niigata,X
Global Semiconductor Market Association,O
a Systems Innovation Group,X
CBRS,X
"Falcon Operations Sub, Inc",O
Link,X
Sunext Design,O
High Reliability and Systems Innovation,X
Microscale Power Conversion,X
Mobile and Communications Group,X
Note2,X
"our Audit and Finance , Compensation , Nominating and Corporate Governance and Innovation and Technology",X
Agent,X
Bosch Automotive Systems,X
Gallium,X
Data and Smart Devices,X
Powerline,X
"Icera, Inc",O
Integration Associates,O
Peregrine,X
TDK-EPCOS,X
Altera Semiconductor Corporation,X
District Court for the Eastern District of Virginia,X
"Samsung America Electronic Components , Inc",X
Multicore Communication Processor,X
"Spectra Linear , Inc",X
Cayman,X
Leshan Radio Company Ltd,O
PSU,X
3D,X
Ericsson Mobile Platforms,O
"Cisco Systems, Inc",O
Hittite Microwave Corporation,O
National Semiconductor Corporation,O
Legacy,X
"II-VI , Inc",X
RF Micro Devices,O
QWI,X
"Communications , Aerospace & Defense",X
QMT,X
ISG,O
Machine Type Communications,X
Intel Quark SoC,X
System,X
Power Management and High-Reliability,X
Our Power Solutions Group,X
Investor,X
TF  Sdn,X
ISSC,O
QES,X
Non-Volatile,X
HDD,X
SDAccel,X
JSI Logistics Ltd,O
Ltd,X
Murata Manufacturing,O
Leipziger,X
Graphics and Visual Solutions,X
"Active-Semi International, Inc",O
Llano-based,X
"Huawei , Inc",X
"Alpha Industries , Inc",X
AMI Semiconductor,O
Director of Taxes and Tax Counsel,X
CAD,X
Linear Technology,O
FPGAs,X
Avastar,X
Littlefuse,O
QTI,X
Cochlear,X
Google Inc,O
Term Loan Facility,X
Electrical and Computer Engineering,X
Public Reference Room,X
eSports,X
Omnivision Technologies,O
Electrical University of Washington,X
"Ubiquiti Networks , Inc",X
Sanmina Towada Electronics,X
Restructuring,X
Gennum and Sensing Products,X
Darnell Group,O
Conexant Integrated Products Inc,X
Power Instruments Incorporated,X
Fab 2 's,X
Goodwill,X
Narrow-Scope Improvements,O
IEEE,X
Moore ’s Law,X
NXP River Holdings,X
Intersil,O
Qualcomm Internet Services Division,O
"Cavium , Inc",X
Tsinghua Holdings Co. Ltd,O
"Sony Computer Entertainment , Inc",X
HomeKit,X
Yahoo,O
CoolRunner-II,X
"Alpha Industries, Inc",O
Northrop Grumman Corporation,O
TFME,O
Qualcomm Market Development,X
"General , Inc",X
Nintendo Switch,O
Radeon Open Compute Platform,X
High,X
Kansas,X
PtP,X
Wireless and Networking,X
Nest,X
